Z103.5,Top 40,http://ice23.securenetsystems.net/CIDC
93.5 The Move,Throwbacks,http://newcap.leanstream.co/CFXJFM
92.5 KISS FM,Top 40,http://radio-dai.rogersdigitalmedia.com/hls/chi/rogers/tor925.stream/48k/dbatR2QxtUC-154234045-9984.aac
